GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LibraTrack,com.libratrack.api,AuthController.LoginResponse,12,0,0,0,1,0,1,0,1,0
LibraTrack,com.libratrack.api,FineController.MessageResponse,6,0,0,0,1,0,1,0,1,0
LibraTrack,com.libratrack.api,FineController.PayRequest,6,0,0,0,1,0,1,0,1,0
LibraTrack,com.libratrack.api,AuthController,70,0,4,0,17,0,5,0,3,0
LibraTrack,com.libratrack.api,BorrowController.BorrowRequest,12,0,0,0,1,0,1,0,1,0
LibraTrack,com.libratrack.api,BookController,132,0,4,0,29,0,10,0,8,0
LibraTrack,com.libratrack.api,BorrowController,207,0,6,0,47,0,13,0,10,0
LibraTrack,com.libratrack.api,AuthController.LoginRequest,15,0,0,0,1,0,1,0,1,0
LibraTrack,com.libratrack.api,BorrowController.ReturnResponse,12,0,0,0,1,0,1,0,1,0
LibraTrack,com.libratrack.api,ApiServer.ErrorResponse,6,0,0,0,1,0,1,0,1,0
LibraTrack,com.libratrack.api,FineController,84,0,0,0,19,0,5,0,5,0
LibraTrack,com.libratrack.api,MemberController,122,0,4,0,27,0,9,0,7,0
LibraTrack,com.libratrack.api,BorrowController.NotificationResponse,12,0,0,0,1,0,1,0,1,0
LibraTrack,com.libratrack.api,BookController.AddBookRequest,18,0,0,0,1,0,1,0,1,0
LibraTrack,com.libratrack.api,MemberController.RegisterRequest,18,0,0,0,1,0,1,0,1,0
LibraTrack,com.libratrack.api,ApiServer,288,0,4,0,66,0,12,0,10,0
LibraTrack,com.libratrack.api,FineController.TotalResponse,6,0,0,0,1,0,1,0,1,0
LibraTrack,com.libratrack.command,ListBooksCommand,63,0,2,0,11,0,3,0,2,0
LibraTrack,com.libratrack.command,PayFineCommand,80,0,6,0,22,0,6,0,3,0
LibraTrack,com.libratrack.command,ReserveBookCommand,70,0,4,0,18,0,5,0,3,0
LibraTrack,com.libratrack.command,ViewFinesCommand,79,0,6,0,19,0,6,0,3,0
LibraTrack,com.libratrack.command,AddBookCommand,75,0,0,0,18,0,2,0,2,0
LibraTrack,com.libratrack.command,IssueBookCommand,52,0,0,0,13,0,2,0,2,0
LibraTrack,com.libratrack.command,MemberHistoryCommand,63,0,6,0,17,0,6,0,3,0
LibraTrack,com.libratrack.command,RegisterMemberCommand,103,0,0,0,25,0,2,0,2,0
LibraTrack,com.libratrack.command,ListMembersCommand,63,0,2,0,11,0,3,0,2,0
LibraTrack,com.libratrack.command,SearchBookCommand,76,0,2,0,14,0,3,0,2,0
LibraTrack,com.libratrack.command,ReturnBookCommand,66,0,2,0,15,0,3,0,2,0
LibraTrack,com.libratrack.cli,LibraTrackApp,614,0,20,0,138,0,20,0,10,0
LibraTrack,com.libratrack.db,DatabaseConnection,61,0,8,0,17,0,9,0,5,0
LibraTrack,com.libratrack.observer,ReservationNotifier,0,76,0,4,0,19,0,6,0,4
LibraTrack,com.libratrack.model,Book,0,116,0,0,0,25,0,17,0,17
LibraTrack,com.libratrack.model,Reservation,18,45,0,0,5,15,5,9,5,9
LibraTrack,com.libratrack.model,Student,3,12,0,0,1,4,1,3,1,3
LibraTrack,com.libratrack.model,Faculty,3,12,0,0,1,4,1,3,1,3
LibraTrack,com.libratrack.model,BorrowRecord,64,50,2,0,8,17,7,11,6,11
LibraTrack,com.libratrack.model,Fine,21,74,1,1,5,17,6,10,5,10
LibraTrack,com.libratrack.model,Librarian,22,31,0,0,6,11,6,6,6,6
LibraTrack,com.libratrack.model,Member,31,92,1,1,8,20,9,11,8,11
LibraTrack,com.libratrack.model,Role,0,15,0,0,0,3,0,1,0,1
LibraTrack,com.libratrack.model,Session,0,21,0,0,0,8,0,4,0,4
LibraTrack,com.libratrack.model,MemberType,0,15,0,0,0,3,0,1,0,1
LibraTrack,com.libratrack.repository.impl,PgLibrarianRepository,76,0,4,0,21,0,6,0,4,0
LibraTrack,com.libratrack.repository.impl,PgBookRepository,181,0,10,0,53,0,13,0,8,0
LibraTrack,com.libratrack.repository.impl,PgFineRepository,107,0,6,0,32,0,8,0,5,0
LibraTrack,com.libratrack.repository.impl,PgMemberRepository,95,0,4,0,29,0,7,0,5,0
LibraTrack,com.libratrack.repository.impl,PgReservationRepository,116,0,4,0,35,0,8,0,6,0
LibraTrack,com.libratrack.repository.impl,PgBorrowRecordRepository,131,0,6,0,38,0,9,0,6,0
LibraTrack,com.libratrack.factory,MemberFactory,3,21,0,2,1,3,1,2,1,1
LibraTrack,com.libratrack.service,MemberService,0,50,0,0,0,12,0,6,0,6
LibraTrack,com.libratrack.service,AuthService,7,125,0,8,2,24,0,12,0,8
LibraTrack,com.libratrack.service,BookService,5,53,0,2,1,13,1,7,1,6
LibraTrack,com.libratrack.service,BorrowService,57,297,1,13,6,60,9,13,8,7
LibraTrack,com.libratrack.service,BorrowService.ReturnResult,0,12,0,0,0,1,0,1,0,1
LibraTrack,com.libratrack.service,FineService,0,49,0,2,0,12,0,7,0,6
LibraTrack,com.libratrack.strategy,FacultyFineStrategy,0,14,0,2,0,2,0,3,0,2
LibraTrack,com.libratrack.strategy,StudentFineStrategy,0,14,0,2,0,2,0,3,0,2
LibraTrack,com.libratrack.strategy,FineCalculator,0,22,0,2,0,6,0,3,0,2
